Sweep Target,Sweep Value,Year,Cumulative Cash
Revenue Multiplier,0.8,8,34311246.22356497
Revenue Multiplier,0.8,9,41806246.22356497
Revenue Multiplier,0.8,10,49301246.22356497
Revenue Multiplier,0.9,0,-11625000.0
Revenue Multiplier,0.9,1,-7554584.592145012
Revenue Multiplier,0.9,2,-3484169.1842900235
Revenue Multiplier,0.9,3,586246.2235649647
Revenue Multiplier,0.9,4,9331246.223564964
Revenue Multiplier,0.9,5,18076246.223564964
Revenue Multiplier,0.9,6,26821246.223564964
Revenue Multiplier,0.9,7,35566246.22356497
Revenue Multiplier,0.9,8,44311246.22356497
Revenue Multiplier,0.9,9,53056246.22356497
Revenue Multiplier,0.9,10,61801246.22356497
Revenue Multiplier,1.0,0,-11625000.0
Revenue Multiplier,1.0,1,-6304584.592145012
Revenue Multiplier,1.0,2,-984169.1842900235
Revenue Multiplier,1.0,3,4336246.223564965
Revenue Multiplier,1.0,4,14331246.223564964
Revenue Multiplier,1.0,5,24326246.223564964
Revenue Multiplier,1.0,6,34321246.22356497
Revenue Multiplier,1.0,7,44316246.22356497
Revenue Multiplier,1.0,8,54311246.22356497
Revenue Multiplier,1.0,9,64306246.22356497
Revenue Multiplier,1.0,10,74301246.22356497
Revenue Multiplier,1.1,0,-11625000.0
Revenue Multiplier,1.1,1,-5054584.59214501
Revenue Multiplier,1.1,2,1515830.8157099802
Revenue Multiplier,1.1,3,8086246.22356497
Revenue Multiplier,1.1,4,19331246.22356497
Revenue Multiplier,1.1,5,30576246.223564975
Revenue Multiplier,1.1,6,41821246.223564975
Revenue Multiplier,1.1,7,53066246.223564975
Revenue Multiplier,1.1,8,64311246.223564975
Revenue Multiplier,1.1,9,75556246.22356498
Revenue Multiplier,1.1,10,86801246.22356498
Revenue Multiplier,1.2,0,-11625000.0
Revenue Multiplier,1.2,1,-3804584.5921450118
Revenue Multiplier,1.2,2,4015830.8157099765
Revenue Multiplier,1.2,3,11836246.223564964
Revenue Multiplier,1.2,4,24331246.223564964
Revenue Multiplier,1.2,5,36826246.22356497
Revenue Multiplier,1.2,6,49321246.22356497
Revenue Multiplier,1.2,7,61816246.22356497
Revenue Multiplier,1.2,8,74311246.22356497
Revenue Multiplier,1.2,9,86806246.22356497
Revenue Multiplier,1.2,10,99301246.22356497
Revenue Multiplier,1.3,0,-11625000.0
Revenue Multiplier,1.3,1,-2554584.592145011
Revenue Multiplier,1.3,2,6515830.815709978
Revenue Multiplier,1.3,3,15586246.223564968
Revenue Multiplier,1.3,4,29331246.223564968
Revenue Multiplier,1.3,5,43076246.22356497
Revenue Multiplier,1.3,6,56821246.22356497
Revenue Multiplier,1.3,7,70566246.22356497
Revenue Multiplier,1.3,8,84311246.22356497
Revenue Multiplier,1.3,9,98056246.22356497
Revenue Multiplier,1.3,10,111801246.22356497
Revenue Multiplier,1.4,0,-11625000.0
Revenue Multiplier,1.4,1,-1304584.5921450108
Revenue Multiplier,1.4,2,9015830.815709978
Revenue Multiplier,1.4,3,19336246.223564968
Revenue Multiplier,1.4,4,34331246.22356497
Revenue Multiplier,1.4,5,49326246.22356497
Revenue Multiplier,1.4,6,64321246.22356497
Revenue Multiplier,1.4,7,79316246.22356497
Revenue Multiplier,1.4,8,94311246.22356497
Revenue Multiplier,1.4,9,109306246.22356497
Revenue Multiplier,1.4,10,124301246.22356497
Revenue Multiplier,1.5,0,-11625000.0
Revenue Multiplier,1.5,1,-54584.59214501083
Revenue Multiplier,1.5,2,11515830.815709978
Revenue Multiplier,1.5,3,23086246.223564968
Revenue Multiplier,1.5,4,39331246.22356497
Revenue Multiplier,1.5,5,55576246.22356497
Revenue Multiplier,1.5,6,71821246.22356497
Revenue Multiplier,1.5,7,88066246.22356497
Revenue Multiplier,1.5,8,104311246.22356497
Revenue Multiplier,1.5,9,120556246.22356497
Revenue Multiplier,1.5,10,136801246.22356498
Revenue Multiplier,1.6,0,-11625000.0
Revenue Multiplier,1.6,1,1195415.4078549892
Revenue Multiplier,1.6,2,14015830.815709978
Revenue Multiplier,1.6,3,26836246.223564968
Revenue Multiplier,1.6,4,44331246.22356497
Revenue Multiplier,1.6,5,61826246.22356497
Revenue Multiplier,1.6,6,79321246.22356497
Revenue Multiplier,1.6,7,96816246.22356497
Revenue Multiplier,1.6,8,114311246.22356497
Revenue Multiplier,1.6,9,131806246.22356497
Revenue Multiplier,1.6,10,149301246.22356498
Revenue Multiplier,1.7,0,-11625000.0
Revenue Multiplier,1.7,1,2445415.407854989
Revenue Multiplier,1.7,2,16515830.815709978
Revenue Multiplier,1.7,3,30586246.223564968
Revenue Multiplier,1.7,4,49331246.22356497
Revenue Multiplier,1.7,5,68076246.22356497
Revenue Multiplier,1.7,6,86821246.22356497
Revenue Multiplier,1.7,7,105566246.22356497
Revenue Multiplier,1.7,8,124311246.22356497
Revenue Multiplier,1.7,9,143056246.22356498
Revenue Multiplier,1.7,10,161801246.22356498
Revenue Multiplier,1.8,0,-11625000.0
Revenue Multiplier,1.8,1,3695415.407854989
Revenue Multiplier,1.8,2,19015830.81570998
Revenue Multiplier,1.8,3,34336246.22356497
Revenue Multiplier,1.8,4,54331246.22356497
Revenue Multiplier,1.8,5,74326246.22356497
Revenue Multiplier,1.8,6,94321246.22356497
Revenue Multiplier,1.8,7,114316246.22356497
Revenue Multiplier,1.8,8,134311246.22356498
Revenue Multiplier,1.8,9,154306246.22356498
Revenue Multiplier,1.8,10,174301246.22356498
Revenue Multiplier,1.9,0,-11625000.0
Revenue Multiplier,1.9,1,4945415.407854989
Revenue Multiplier,1.9,2,21515830.81570998
Revenue Multiplier,1.9,3,38086246.22356497
Revenue Multiplier,1.9,4,59331246.22356497
Revenue Multiplier,1.9,5,80576246.22356497
Revenue Multiplier,1.9,6,101821246.22356497
Revenue Multiplier,1.9,7,123066246.22356497
Revenue Multiplier,1.9,8,144311246.22356498
Revenue Multiplier,1.9,9,165556246.22356498
Revenue Multiplier,1.9,10,186801246.22356498
Revenue Multiplier,2.0,0,-11625000.0
Revenue Multiplier,2.0,1,6195415.407854989
Revenue Multiplier,2.0,2,24015830.81570998
Revenue Multiplier,2.0,3,41836246.22356497
Revenue Multiplier,2.0,4,64331246.22356497
Revenue Multiplier,2.0,5,86826246.22356497
Revenue Multiplier,2.0,6,109321246.22356497
Revenue Multiplier,2.0,7,131816246.22356497
Revenue Multiplier,2.0,8,154311246.22356498
Revenue Multiplier,2.0,9,176806246.22356498
Revenue Multiplier,2.0,10,199301246.22356498
Fixed Ops Multiplier,0.5,0,-11625000.0
Fixed Ops Multiplier,0.5,1,-6052084.592145012
Fixed Ops Multiplier,0.5,2,-479169.1842900235
Fixed Ops Multiplier,0.5,3,5093746.223564965
Fixed Ops Multiplier,0.5,4,15341246.223564964
Fixed Ops Multiplier,0.5,5,25588746.223564964
Fixed Ops Multiplier,0.5,6,35836246.22356497
Fixed Ops Multiplier,0.5,7,46083746.22356497
Fixed Ops Multiplier,0.5,8,56331246.22356497
Fixed Ops Multiplier,0.5,9,66578746.22356497
Fixed Ops Multiplier,0.5,10,76826246.22356497
Fixed Ops Multiplier,0.6,0,-11625000.0
Fixed Ops Multiplier,0.6,1,-6102584.592145012
Fixed Ops Multiplier,0.6,2,-580169.1842900235
Fixed Ops Multiplier,0.6,3,4942246.223564965
Fixed Ops Multiplier,0.6,4,15139246.223564964
Fixed Ops Multiplier,0.6,5,25336246.223564964
Fixed Ops Multiplier,0.6,6,35533246.22356497
Fixed Ops Multiplier,0.6,7,45730246.22356497
Fixed Ops Multiplier,0.6,8,55927246.22356497
Fixed Ops Multiplier,0.6,9,66124246.22356497
